Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B10,#362,,1,0,longREF,0.92,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,18.47,,,1.63,0.46,12742,10,12732,0,10,15,"12,717.00",0,,,,,,,,347.84,,,,,,,,,,,,,,"2,884.34",237.17,239.25,,,,,1.25,0.66,,,,,,,,,,,,
B10,#362,,1,0,HDR,1.39,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,27.72,,,2.22,0.79,12742,15,12727,0,10,15,"12,717.00",0,4.5,,,8.16,0.84,3,,843.21,,,longREF,1.5,,,2.72,0.28,60,,,79.54,40.47,"1,003.17",707.06,707.41,,,,,1.78,1.06,,,6.35,2.65,,,2.12,0.88,,,69.85,50.16
C10,#363,1,,0,longREF,152.14,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"3,042.80",,,159.06,145.26,15432,1872,13560,638,"1,234.00",559,"13,001.00",45.46,,,,,,,,881.5,,,,,,,,,,,,,,"3,621.11",236.37,646.96,,,,,155.66,148.63,,,,,,,,,,,,
C10,#363,1,,0,HDR,94.99,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,899.75",,,100.38,89.62,15432,1197,14235,638,"1,234.00",559,"13,001.00",45.46,1.87,,,2.01,1.74,3,,921.51,,,longREF,0.62,,,0.67,0.58,38.44,,,40.15,36.72,"1,488.03",706.22,766.87,,,,,97.74,92.24,,,1.94,1.8,,,0.65,0.6,,,39.31,37.56
D10,#364,1,,0,longREF,249.78,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"4,995.59",,,259.95,239.69,12259,2345,9914,861,"1,484.00","1,384.00","8,530.00",61.08,,,,,,,,921.55,,,,,,,,,,,,,,"3,790.00",239.28,918.49,,,,,254.96,244.62,,,,,,,,,,,,
D10,#364,1,,0,HDR,237.97,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,759.44",,,247.87,228.15,12259,2245,10014,861,"1,484.00","1,384.00","8,530.00",61.08,2.86,,,3.02,2.69,3,,945.75,,,longREF,0.95,,,1.01,0.9,48.79,,,50.24,47.34,"1,580.37",708.43,868.11,,,,,243.01,232.95,,,2.94,2.77,,,0.98,0.92,,,49.53,48.05
E10,#365,2,1,0,longREF,140.41,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,808.21",,,146.48,134.37,18373,2067,16306,508,"1,559.00",716,"15,590.00",28.28,,,,,,,,968.75,,,,,,,,,,,,,,"3,968.26",241.33,660.62,,,,,143.5,137.32,,,,,,,,,,,,
E10,#365,2,1,0,HDR,81.11,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,622.17",,,85.66,76.57,18373,1224,17149,508,"1,559.00",716,"15,590.00",28.28,1.73,,,1.86,1.61,3,,956.38,,,longREF,0.58,,,0.62,0.54,36.61,,,38.26,34.97,"1,634.40",717.06,778.17,,,,,83.43,78.79,,,1.8,1.67,,,0.6,0.56,,,37.45,35.78
F10,#366,3,1,0,longREF,20.13,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,402.5,,,22.42,17.83,17452,296,17156,55,241,72,"17,084.00",3.64,,,,,,,,322.34,,,,,,,,,,,,,,"3,778.76",239.36,299.39,,,,,21.3,18.96,,,,,,,,,,,,
F10,#366,3,1,0,HDR,8.59,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,171.85,,,10.09,7.1,17452,127,17325,55,241,72,"17,084.00",3.64,1.28,,,1.55,1.01,3,,919.32,,,longREF,0.43,,,0.52,0.34,29.92,,,34.28,25.56,"1,571.75",712.98,719.23,,,,,9.36,7.83,,,1.42,1.15,,,0.47,0.38,,,32.15,27.7
